"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"yellow","blue_Cortex__HumanChimp","Brain",2.61074438741988e-14
"red","turquoise_M14_Nucleus__MouseMeta","Brain",1.1370629732376e-13
"blue","turquoise_upAging_oligo__Lu_Aging","Brain",1.31735454644492e-13
"tan","orange_M5_Microglia(Type2)__CTX","Brain",2.76655532672974e-12
"cyan","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",3.1386031051014e-12
"red","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",5.42869901803868e-12
"cyan","PostSynapticDensity_proteins__Bayes","Brain",4.93416493622243e-11
"yellow","red_M11_Neuron__HumanMeta","Brain",8.69015266782044e-11
"yellow","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",1.24581170660507e-10
"blue","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",1.28217853519395e-10
"black","Autism_associated_module_M12__Voineagu","Brain",2.3902437480132e-10
"pink","Astrocyte__ABA","Brain",2.40904110627728e-10
"tan","magenta_M8_Microglia(Type2)__HumanMeta","Brain",4.19188136397541e-10
"blue","Astrocyte_probable__Cahoy","Brain",1.05658425736207e-09
"brown","yellow_M18__CTX","Brain",1.39571666728195e-09
"pink","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",2.28706554888218e-09
"blue","turquoise_M9_Oligodendrocyte__CTX","Brain",5.86230891123776e-09
"pink","Validated_Astrocyte_Bachoo__MO","Brain",7.78324206714648e-09
"black","green_M5_Mitochondria__HumanMeta","Brain",8.27519542037018e-09
"black","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",1.32123081331268e-08
"lightcyan","turquoise_M14_Nucleus__HumanMeta","Brain",2.04421278700298e-08
"yellow","blue_M16_Neuron__CTX","Brain",2.20860534391571e-08
"red","red_M11_Neuron__HumanMeta","Brain",2.71636196393327e-08
"pink","yellow_noChangeAD_antigenProcessing_ribosome__Blalock_AD","Brain",1.10479249793318e-07
"yellow","DownWithAlzheimers_Liang__ADvsCT_inCA1","Brain",1.56697565071431e-07
"brown","brown_pyramidalNeurons_Layer5/basolateralAmygdala__Sugino/Winden","Brain",1.87412334467971e-07
"magenta","turquoise_M14_Nucleus__HumanMeta","Brain",1.98737099193574e-07
"yellow","PresynapticCompartmentProteins_Morciano__MO","Brain",4.03929771728082e-07
"cyan","DownWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",4.15135724553534e-07
"black","green_M10_GlutamatergicSynapticFunction__CTX","Brain",8.41013114352314e-07
"yellow","green_M10_GlutamatergicSynapticFunction__CTX","Brain",8.43036883754173e-07
"yellow","magenta_downAD_synapticTransmission__Blalock_AD","Brain",1.19359635024351e-06
"salmon","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",1.38984198449539e-06
"black","Neuron_probable__Cahoy","Brain",2.12757105363778e-06
"yellow","greenyellow_M6_GlutatmatergicSynapse__HumanMeta","Brain",2.65200367087222e-06
"tan","upMGactivagtion_GSE1910__MicrogialMarkers","Brain",2.92553347471431e-06
"brown","Neuron_probable__Cahoy","Brain",3.03200904618246e-06
"grey60","turquoise_M14_Nucleus__HumanMeta","Brain",3.14337845629078e-06
"cyan","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",3.37859782592727e-06
"yellow","Autism_differential_expression_across_at_least_one_comparison__Voineagu","Brain",6.06148652270531e-06
"brown","blue_Cortex__HumanChimp","Brain",7.15498834519622e-06
"blue","upInFrontalCortex__EarlyAD","Brain",1.03345867172682e-05
"purple","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",1.17953122597764e-05
"red","PostSynapticDensity_proteins__Bayes","Brain",1.19259067886537e-05
"magenta","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",1.2534757369908e-05
"red","brown_downAD_mitochondrion__Blalock_AD","Brain",1.30876168713588e-05
"pink","turquoise_upAging_oligo__Lu_Aging","Brain",1.76364241649316e-05
"tan","upMacrophageActivagtion_GSE1910__MicrogialMarkers","Brain",2.54230481648606e-05
"red","turquoise_CingulateNeurons(allTypes)/Layer5__Sugino/Winden","Brain",2.9050818961772e-05
"cyan","GlutamatergicNeuronsInMouseCortex_Sugino__MO","Brain",3.54724064633101e-05
"salmon","Neuron_probable__Cahoy","Brain",3.65069022870013e-05
"green","blue_downAD_metalIonTransport_glycoprotein__Blalock_AD","Brain",3.75917684993085e-05
"cyan","black_M1_PvalbInterneurons__HumanMeta","Brain",4.44856515366258e-05
"tan","upInHippocampus__EarlyAD","Brain",4.9250545305542e-05
"tan","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",5.16775685753479e-05
"cyan","greenyellow_M6_GlutatmatergicSynapse__MouseMeta","Brain",5.7168851174072e-05
"cyan","green_M5_Mitochondria__HumanMeta","Brain",7.74997459971062e-05
"blue","brown_M3_Astrocytes__HumanMeta","Brain",0.000100287971924583
"cyan","pink_downAD_synapticTransmission__Blalock_AD","Brain",0.000201595245196094
"red","Oligodendrocyte_probable__Cahoy","Brain",0.000204869441951041
"brown","turquoise_downAD_intracellularTransport_cytoskeleton__Blalock_AD","Brain",0.000272210791432963
"brown","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",0.000381710564306766
"pink","PostSynapticDensity_proteins__Bayes","Brain",0.000549446898711984
"cyan","CA1specific_Newrzella__CA1vsCA3","Brain",0.000689205825574742
"yellow","black_M1_PvalbInterneurons__HumanMeta","Brain",0.000856969617291997
"red","black_M1_PvalbInterneurons__HumanMeta","Brain",0.00109962379265436
"lightcyan","Down_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.00113861861994378
"yellow","CA3specific_Newrzella__CA1vsCA3","Brain",0.00134135767343963
"yellow","turquoise_M9_Oligodendrocyte__CTX","Brain",0.00142019595957489
"black","pink_M14_GlutamatergicSynapticFunction__CTX","Brain",0.00166438181901645
"tan","Alzheimer_possible__DiseaseGenes","Brain",0.00180736986835748
"grey60","Down_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.00182867946323176
"blue","Oligodendrocyte_probable__Cahoy","Brain",0.00195768401652001
"red","turquoise_downAD_intracellularTransport_cytoskeleton__Blalock_AD","Brain",0.00219122479267625
"blue","orange_M5_Microglia(Type2)__CTX","Brain",0.0032897123016879
"cyan","green_M10_GlutamatergicSynapticFunction__CTX","Brain",0.00342388896792711
"lightcyan","Oligodendrocyte_probable__Cahoy","Brain",0.00467187136419528
"red","green_CortexAndCerebellum__HumanChimp","Brain",0.00476751878388732
"cyan","Neuron__ABA","Brain",0.00568490486761284
"grey60","Oligodendrocyte_probable__Cahoy","Brain",0.00573426257259711
"tan","mutationMouse__JAXdiseaseGene","Brain",0.00814106602929716
"lightcyan","Astrocyte_probable__Cahoy","Brain",0.00814938484234202
"brown","cyan_M4_Mitochondria__MouseMeta","Brain",0.00847127668773784
"blue","Up_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.00915134287805731
"salmon","black_M1_PvalbInterneurons__HumanMeta","Brain",0.00993127319448994
"yellow","powderblue_M13_Neurogenesis__CTX","Brain",0.0108215875394518
"purple","green_M10_GlutamatergicSynapticFunction__CTX","Brain",0.0123291757718432
"purple","UpWithAlzheimers_Blalock__ADvsCT_inCA1","Brain",0.0129982891519656
"brown","Up_CD40_stimulation_in_MG_AitGhezala__MicrogialMarkers","Brain",0.0142662201893138
"greenyellow","Choroid plexus__ABA","Brain",0.0155157214492713
"brown","Oligodendrocyte_probable__Cahoy","Brain",0.0156288555003727
"salmon","Autism_associated_module_M12__Voineagu","Brain",0.0158636053357651
"brown","black_M11__CTX","Brain",0.0168097657964667
"magenta","Autism_differential_splicing_events__Voineagu","Brain",0.019028150501011
"midnightblue","turquoise_M14_Nucleus__HumanMeta","Brain",0.0193785827322779
"lightcyan","yellow_M18__CTX","Brain",0.0213812911461553
"red","purple_pyramidalNeurons_Layers5&6/basolateralAmygdala__Sugino/Winden","Brain",0.0242383469280838
"purple","PostSynapticDensity_proteins__Bayes","Brain",0.0261175531807518
"pink","mutationMouseOrHumanOrBoth__JAXdiseaseGene","Brain",0.0284377775485291
"red","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",0.0338161012710627
"cyan","blue_downAging_mitochondria_synapse__Lu_Aging","Brain",0.0422904820752905
"grey60","Astrocyte_probable__Cahoy","Brain",0.0428306828825818
"cyan","magenta_downAD_synapticTransmission__Blalock_AD","Brain",0.0453155084598566
"brown","Cytoplasm_Foster__MO","Brain",0.0469764845830455
